cod_comuna,pob_60mas,pob_65mas,demencia_esperada_60,demencia_esperada_65,fonasa_60mas,tramo_a_pct,cobertura_publica,demencia_esperada_65_pub
01101,38976,27424,2297,2159,34447,22.1,0.883800287356322,1908
01107,12650,8130,550,506,14605,37.1,1,506
01401,2796,1950,181,169,2837,29.5,1,169
01402,353,279,39,37,160,47.6,0.453257790368272,17
01403,413,321,39,36,222,45.2,0.537530266343826,19
01404,777,596,63,60,512,45.8,0.658944658944659,40
01405,1458,1121,120,114,1542,32,1,114
02101,62063,42160,3395,3156,52957,18.8,0.853278120619371,2693
02102,1899,1218,82,75,,,,
02103,167,111,14,12,1,0,0.00598802395209581,0
02104,2399,1633,136,127,2,18.2,0.000833680700291788,0
02201,24802,16256,1252,1149,19739,16.1,0.795863236835739,914
02202,41,32,4,4,,10,,
02203,1361,940,99,91,1494,18.5,1,91
02301,5205,3619,264,249,3752,24.2,0.720845341018252,179
02302,826,464,35,30,14,5.8,0.0169491525423729,1
03101,29733,20615,1729,1620,25760,16.9,0.866377425755894,1404
03102,3938,2669,209,194,4345,20.6,1,194
03103,2294,1552,137,127,2962,19,1,127
03201,2654,1905,152,143,2743,18.3,1,143
03202,2102,1352,98,91,1629,6.4,0.774976213130352,71
03301,12401,9017,755,717,10988,20.2,0.886057576001935,635
03302,1605,1212,166,156,1313,19.2,0.818068535825545,128
03303,1747,1283,122,115,1906,20.4,1,115
03304,2605,1833,150,141,1926,20,0.739347408829175,104
04101,52457,38068,3441,3268,48269,14.5,0.92016318127228,3007
04102,53203,38102,3373,3192,46914,16.9,0.88179238012894,2815
04103,2717,2045,177,170,,,,
04104,1092,801,88,82,419,30.5,0.383699633699634,31
04105,1173,889,127,119,690,12.6,0.588235294117647,70
04106,6629,4913,514,486,3683,15.4,0.555589078292352,270
04201,7867,5880,575,545,7664,17.8,0.974196008643701,531
04202,3018,2358,323,308,3091,19.5,1,308
04203,5548,4116,383,364,2019,25.2,0.363914924297044,132
04204,6930,5147,540,511,3912,16.5,0.564502164502165,288
04301,26050,19270,1862,1774,24854,15.8,0.954088291746641,1693
04302,4231,3296,387,370,2143,17.5,0.506499645473883,187
04303,7260,5505,619,588,7370,17.4,1,588
04304,3145,2390,256,243,3223,22.1,1,243
04305,1393,1067,148,139,1371,21.2,0.984206748025844,137
05101,73290,54493,5008,4782,64642,16.7,0.882003001773775,4218
05102,6455,4770,483,458,4761,9.5,0.737567776917119,338
05103,10090,7232,591,561,9409,12.7,0.932507433102081,523
05104,215,136,17,15,30,1.5,0.13953488372093,2
05105,5263,3899,341,325,5345,15.2,1,325
05107,8869,6565,571,544,6409,18.6,0.722629383245011,393
05109,91969,69510,6688,6419,68651,14.1,0.746458045645816,4792
05201,1096,681,45,41,,,,
05301,14920,10829,900,856,12532,9.9,0.839946380697051,719
05302,3479,2564,242,229,2967,14.5,0.852831273354412,195
05303,2288,1677,150,142,2558,14.7,1,142
05304,4519,3314,336,317,4125,11.9,0.912812569152467,289
05401,8898,6553,619,586,9228,17.9,1,586
05402,4509,3257,326,307,2045,15,0.453537369705034,139
05403,1498,1083,95,90,1840,12.1,1,90
05404,2652,1957,224,210,2195,16.6,0.827677224736048,174
05405,2059,1506,146,138,2321,10.9,1,138
05501,23081,16926,1527,1456,22419,16.7,0.971318400415926,1414
05502,12135,8867,730,698,11442,17,0.942892459826947,658
05503,4003,2904,283,266,4561,19.7,1,266
05504,5088,3726,322,307,4516,11.6,0.887578616352201,272
05506,5333,3933,349,332,5349,13.5,1,332
05601,21923,15901,1323,1261,20406,15.8,0.930803265976372,1174
05602,4994,3854,334,319,5281,14,1,319
05603,7560,5706,465,445,7517,27,0.994312169312169,442
05604,6299,4924,403,388,5775,21.8,0.916812192411494,356
05605,5272,4042,313,301,5654,20.3,1,301
05606,2931,2149,222,209,3088,10.3,1,209
05701,17745,12900,1115,1062,13678,12.6,0.770808678500986,819
05702,3497,2602,271,256,3444,17,0.984844152130398,252
05703,5936,4298,410,388,4313,14.1,0.726583557951483,282
05704,1670,1173,118,109,1761,11.3,1,109
05705,4478,3399,397,376,4309,15,0.962259937472086,362
05706,3683,2688,265,249,3660,12.7,0.993755090958458,247
05801,42857,32125,2989,2861,34660,13.6,0.808736029120097,2314
05802,12034,9137,821,786,3018,14.7,0.250789429948479,197
05803,5437,4069,385,365,5298,14.5,0.974434430752253,356
05804,33216,24501,2048,1965,26907,13,0.810061416184971,1592
06101,58725,42108,3672,3473,44709,13.1,0.761328224776501,2644
06102,3054,2114,220,204,3909,11.4,1,204
06103,2114,1569,171,161,,,,
06104,5222,3788,392,369,4516,14.4,0.864802757564152,319
06105,5150,3719,334,315,5308,11.7,1,315
06106,6999,4977,412,389,,,,
06107,6604,4837,555,521,6243,17.4,0.945336159903089,493
06108,10599,7245,547,515,7200,11.6,0.679309368808378,350
06109,3543,2604,286,268,3740,14.9,1,268
06110,6112,4392,379,358,5734,13.1,0.93815445026178,336
06111,3123,2143,203,189,2915,12.4,0.933397374319565,176
06112,3572,2603,226,214,1208,11.2,0.338185890257559,72
06113,5355,3869,417,390,3728,12.3,0.696171802054155,272
06114,3381,2449,248,232,3345,18,0.989352262644188,230
06115,14119,10269,917,867,13033,16.2,0.923082371272753,800
06116,6066,4296,420,391,5688,10.2,0.937685459940653,367
06117,12889,9452,989,932,12155,12.3,0.943052215067111,879
06201,4594,3314,302,286,1232,12.1,0.268175881584676,77
06202,971,730,83,78,1307,13.9,1,78
06203,1917,1433,149,141,1039,17.2,0.541992696922274,76
06204,2217,1692,187,177,1115,13.2,0.502931889941362,89
06205,2522,1969,278,263,2560,19.8,1,263
06206,2015,1551,202,192,2236,15.9,1,192
06301,17756,12913,1130,1073,17167,12.4,0.966828114440189,1037
06302,4198,3126,328,310,3741,15.5,0.891138637446403,276
06303,8548,6183,626,587,4881,12.1,0.571010762751521,335
06304,2184,1688,199,189,1725,12,0.789835164835165,149
06305,4569,3358,335,317,2418,15.2,0.529218647406435,168
06306,3235,2331,278,259,3062,10.7,0.946522411128284,245
06307,3130,2351,244,232,3358,14.2,1,232
06308,2291,1687,206,193,2480,16.9,1,193
06309,1167,892,125,118,1396,16.9,1,118
06310,10001,7365,762,720,9872,14.9,0.987101289871013,711
07101,53507,38807,3399,3222,50018,17,0.934793578410302,3012
07102,9891,6849,590,552,10082,26.3,1,552
07103,3113,2389,300,285,2167,16.3,0.696113074204947,198
07104,947,709,68,65,993,22.5,1,65
07105,9440,6507,561,523,6751,24.4,0.715148305084746,374
07106,2448,1837,220,207,2880,19.1,1,207
07107,2346,1750,198,186,2484,18.9,1,186
07108,3691,2654,290,269,3461,16.1,0.937686263885126,252
07109,11002,7975,813,759,10493,23.6,0.953735684421014,724
07110,2425,1756,170,159,2673,17.8,1,159
07201,12535,9647,942,906,11127,24,0.887674511368169,804
07202,2502,1893,220,209,1748,28.6,0.698641087130296,146
07203,2411,1858,190,181,2446,27.7,1,181
07301,35196,25093,2194,2073,32002,14.7,0.909251051255825,1885
07302,2996,2226,235,223,2739,14.5,0.914218958611482,204
07303,1840,1346,129,122,1554,21.6,0.844565217391304,103
07304,11828,8487,745,703,11400,18.2,0.963814677037538,678
07305,2903,2151,226,213,2811,13.8,0.96830864622804,206
07306,3638,2642,282,263,3578,14.2,0.983507421660253,259
07307,4620,3265,350,325,4843,12.8,1,325
07308,7246,5238,596,555,6952,12.4,0.959425890146288,532
07309,1291,954,115,108,1317,19.1,1,108
07401,23811,17332,1545,1466,21745,17.9,0.913233379530469,1339
07402,5701,4153,438,409,6542,20.1,1,409
07403,8011,5828,651,605,8349,21.6,1,605
07404,11397,8460,802,762,10997,19.8,0.964903044660876,735
07405,5401,3965,440,411,5698,22.7,1,411
07406,12128,9036,854,810,10668,17.1,0.879617414248021,712
07407,4741,3537,353,334,4705,16.9,0.992406665260494,331
07408,4501,3221,347,321,4991,20,1,321
08101,54006,39559,3613,3439,46604,13.8,0.862941154686516,2968
08102,24385,16864,1340,1266,19425,17.9,0.796596268197663,1008
08103,19352,13698,1048,995,17488,13.3,0.903679206283588,899
08104,3473,2584,281,264,2640,21.7,0.760149726461273,201
08105,5500,3967,349,331,5294,20.3,0.962545454545455,319
08106,10594,7554,578,549,8450,16.4,0.797621295072683,438
08107,11006,7852,590,560,11577,16.1,1,560
08108,25820,17978,1347,1273,19626,17.3,0.76010844306739,968
08109,3758,2837,274,261,2539,22.8,0.675625332623736,176
08110,35909,25124,2268,2139,32866,12.4,0.915258013311426,1958
08111,14788,11039,943,902,15192,19.6,1,902
08112,21991,16155,1295,1239,20971,12.7,0.953617388931836,1182
08201,5622,3950,335,317,4228,28.6,0.752045535396656,238
08202,7951,5696,532,502,6861,22.4,0.862910325745189,433
08203,8024,5870,611,575,5987,29.5,0.746136590229312,429
08204,1609,1198,129,122,1110,25.4,0.689869484151647,84
08205,7270,5082,423,401,7322,16.4,1,401
08206,4529,3205,278,263,4741,23.8,1,263
08207,2031,1427,162,150,2086,33.1,1,150
08301,44258,32153,2862,2716,43344,17.4,0.979348366397036,2660
08302,1201,904,101,96,1317,20.8,1,96
08303,6734,4944,453,429,7386,17.3,1,429
08304,5726,4184,377,355,5438,17,0.949703108627314,337
08305,7221,5353,493,470,6745,20.1,0.934081152194987,439
08306,6098,4383,384,364,5469,16.4,0.896851426697278,326
08307,2377,1737,174,164,2459,19.9,1,164
08308,1353,1056,116,111,1232,18.8,0.910569105691057,101
08309,2833,2222,223,213,2701,17.3,0.953406283092128,203
08310,992,748,60,57,1064,19.5,1,57
08311,3578,2651,274,258,3618,18.4,1,258
08312,4083,3088,280,268,4236,17.7,1,268
08313,6351,4802,493,468,5655,19.7,0.89041095890411,417
08314,971,688,86,79,933,28.8,0.96086508753862,76
09101,59560,43099,3937,3739,53520,17.8,0.898589657488247,3360
09102,6494,4857,519,491,5163,32,0.79504157684016,390
09103,5221,3971,432,410,4240,20.9,0.812104960735491,333
09104,1719,1280,153,143,2007,30.7,1,143
09105,6301,4621,544,509,6068,21,0.963021742580543,490
09106,3021,2292,283,268,2232,28.9,0.738828202581927,198
09107,4156,3176,319,305,3207,18.5,0.771655437921078,235
09108,8675,6370,612,580,9167,21.8,1,580
09109,6202,4632,458,435,5400,20.6,0.870686875201548,379
09110,1799,1393,158,150,1958,27.4,1,150
09111,8258,6185,665,631,9740,29.4,1,631
09112,15247,10831,1089,1018,15875,22.1,1,1018
09113,1680,1245,136,129,1566,21.3,0.932142857142857,120
09114,6806,5147,534,509,7053,19.8,1,509
09115,5784,4235,418,394,7135,18.5,1,394
09116,3458,2591,338,318,3577,34,1,318
09117,4420,3327,392,371,4025,30.8,0.910633484162896,338
09118,2608,1967,235,223,2274,24.7,0.871932515337423,194
09119,6710,4911,510,479,5758,22.3,0.858122205663189,411
09120,12832,9388,928,876,15779,21.9,1,876
09121,3058,2313,287,272,2832,30.1,0.926095487246566,252
09201,12755,9304,810,773,12633,18.5,0.990435123480988,766
09202,5749,4154,388,367,3971,19.4,0.690728822403896,253
09203,4978,3719,355,337,3444,22.8,0.691844114102049,233
09204,2005,1503,167,157,1775,28,0.885286783042394,139
09205,2494,1812,212,199,1593,30,0.638732959101844,127
09206,1968,1469,154,146,1998,22.6,1,146
09207,2446,1848,210,199,2299,26.1,0.939901880621423,187
09208,3095,2287,245,233,1141,29.7,0.368659127625202,86
09209,2436,1738,152,144,2819,19.1,1,144
09210,5152,3868,381,364,3249,21.1,0.630628881987578,230
09211,8646,6339,618,586,9379,22,1,586
10101,45941,31676,2747,2576,43204,16.2,0.940423586774341,2423
10102,8469,6296,702,662,8338,26.2,0.984531821938836,652
10103,1129,833,116,108,1224,24.8,1,108
10104,3365,2417,250,235,2235,19.4,0.664190193164933,156
10105,4569,3210,304,285,4436,15.5,0.970890785729919,277
10106,4576,3406,367,346,4771,25.6,1,346
10107,4138,2898,249,234,4192,14.6,1,234
10108,4151,3065,332,312,3800,25.6,0.915442062153698,286
10109,9524,6631,618,577,9112,13.4,0.956740865182696,552
10201,9552,6905,649,614,9707,16.3,1,614
10202,9958,7168,683,644,10050,19.9,1,644
10203,3435,2476,284,265,3309,19.8,0.963318777292576,255
10204,1064,817,106,101,914,19.2,0.859022556390977,87
10205,3142,2325,263,249,3256,23.2,1,249
10206,1146,877,122,115,1015,20.4,0.885689354275742,102
10207,1299,943,111,104,1079,21.6,0.830638953040801,86
10208,4379,2933,279,257,5263,24.3,1,257
10209,2313,1749,219,208,2225,23.1,0.961954172070904,200
10210,2108,1574,178,168,1619,25.4,0.768026565464896,129
10301,37554,26908,2448,2320,34443,16.8,0.917159290621505,2128
10302,2134,1466,174,159,1955,17,0.916119962511715,146
10303,5482,4054,399,379,5627,16.3,1,379
10304,2998,2171,239,223,3696,17.2,1,223
10305,3892,2837,306,287,3617,17.7,0.92934224049332,267
10306,2301,1724,218,204,2596,32.9,1,204
10307,3062,2270,250,235,2905,17.8,0.948726322664925,223
10401,1135,755,87,79,289,22.8,0.254625550660793,20
10402,646,482,45,43,70,20.2,0.108359133126935,5
10403,2006,1416,158,147,1491,27,0.743270189431705,109
10404,515,360,37,34,42,18.3,0.0815533980582524,3
11101,11095,7782,660,622,8376,15,0.754934655250113,470
11102,246,176,22,20,7,0,0.0284552845528455,1
11201,4349,3123,264,249,3411,18.7,0.784318234076799,195
11202,1005,695,67,63,638,16.3,0.634825870646766,40
11203,242,171,13,12,1,8.3,0.00413223140495868,0
11301,715,511,45,42,725,16.4,1,42
11302,98,64,8,7,,0,,
11303,85,63,8,7,,0,,
11401,1182,840,82,77,939,12.5,0.794416243654822,61
11402,817,603,82,76,29,10.7,0.0354957160342717,3
12101,30182,21689,1723,1637,25621,10.2,0.848883440461202,1390
12102,64,38,4,3,,,,
12103,55,38,4,3,,,,
12104,123,78,8,7,,0,,
12201,140,86,6,6,72,6.7,0.514285714285714,3
12202,6,0,0,0,,,,
12301,1398,985,79,74,1082,8.2,0.773962804005723,57
12302,106,61,6,4,,,,
12303,31,20,2,2,,0,,
12401,5564,4115,340,324,4864,12.8,0.874191229331416,283
12402,112,89,9,8,,0,,
13101,71390,51387,4642,4402,52268,21.6,0.73214735957417,3223
13102,16917,12313,979,936,13492,18.9,0.797540935153987,746
13103,28030,20929,1540,1473,25261,20.1,0.901212986086336,1327
13104,29694,22501,1880,1812,27402,16.2,0.922812689432208,1672
13105,34850,25193,2143,2027,35425,19.4,1,2027
13106,42418,31097,2888,2752,18485,24.5,0.43578197934839,1199
13107,18382,13734,969,925,15613,17.7,0.849363507779349,786
13108,27309,20270,1657,1591,18208,25,0.666739902596214,1061
13109,23128,17411,1454,1401,18042,19,0.780093393289519,1093
13110,88857,63078,5104,4795,86910,14.5,0.978088389209629,4690
13111,25070,17208,1368,1294,29386,18.3,1,1294
13112,31784,21354,1594,1469,30675,23.6,0.965108230556255,1418
13113,23234,17347,1436,1381,13127,9.2,0.564990961521908,780
13114,84331,64071,6165,5922,30257,8.6,0.358788583083326,2125
13115,19091,12471,959,894,10376,10.7,0.543502173799172,486
13116,20196,14296,1204,1149,21053,20.5,1,1149
13117,23033,17837,1336,1287,27691,17.8,1,1287
13118,32063,24217,1969,1895,29990,22.8,0.935346037488694,1772
13119,101382,67497,5484,5078,78740,12.1,0.776666469392989,3944
13120,60192,45663,4532,4358,32773,10.3,0.544474348750665,2373
13121,24512,17654,1521,1456,26154,18.7,1,1456
13122,48205,34291,2787,2620,42388,17.8,0.879327870552847,2304
13123,37700,29572,2668,2592,24095,7.2,0.639124668435013,1657
13124,40806,27455,2241,2081,43195,16.2,1,2081
13125,30210,18841,1472,1336,29117,13.8,0.963819927176432,1288
13126,29756,22191,1805,1734,21544,19.6,0.724022045973921,1255
13127,40666,30014,2600,2473,29053,21.2,0.714429744749914,1767
13128,28461,20051,1612,1511,26956,19.3,0.947120621200942,1431
13129,24284,18299,1485,1428,22565,18.6,0.929212650304727,1327
13130,29797,22257,1900,1829,24495,18.3,0.822062623754069,1504
13131,18997,14642,1101,1060,18287,21.8,0.96262567773859,1020
13132,25798,20204,1679,1627,7555,5.8,0.292852159082099,476
13201,98129,63283,5171,4753,91710,15.1,0.934586106044085,4442
13202,6005,4158,430,395,5995,13.1,0.998334721065778,394
13203,4035,2861,279,260,2397,14,0.594052044609665,154
13301,22026,14573,1139,1050,18805,20.8,0.853763733769182,896
13302,15705,10422,872,804,12512,25.9,0.796688952562878,641
13303,3994,2878,258,242,3365,18.6,0.842513770655984,204
13401,54525,37528,3082,2878,48412,17.8,0.887886290692343,2555
13402,18199,12746,1055,991,18151,14.5,0.99736249244464,988
13403,5211,3545,366,335,4235,11.7,0.81270389560545,272
13404,15168,10568,964,894,14542,15.4,0.958728902953587,857
13501,29013,20940,1946,1827,26709,20.9,0.920587322924206,1682
13502,1543,1121,125,117,1704,16.5,1,117
13503,7758,5590,528,494,5848,14.7,0.753802526424336,372
13504,3109,2213,231,215,3678,16.5,1,215
13505,2883,2129,276,256,2813,40.2,0.975719736385709,250
13601,14563,10148,873,816,13211,13.7,0.907161985854563,740
13602,7444,5330,449,424,7022,17.2,0.943310048361096,400
13603,7502,5327,468,438,7500,13.3,0.999733404425487,438
13604,12889,9039,718,674,11205,17.7,0.869345953914191,586
13605,18351,13098,1028,972,17116,14.4,0.932701215192633,907
14101,37494,26483,2404,2272,34175,13.9,0.911479170000533,2071
14102,1467,1079,110,104,909,19.5,0.619631901840491,64
14103,4231,3070,309,293,3646,19.6,0.861734814464666,252
14104,4748,3389,356,332,5050,19,1,332
14105,1794,1317,135,127,2245,18.3,1,127
14106,5091,3730,408,383,5152,21.9,1,383
14107,5136,3694,380,357,5423,19.3,1,357
14108,8234,5939,660,617,9108,24.9,1,617
14201,9806,7144,698,660,8972,18.5,0.914950030593514,604
14202,3318,2354,243,227,3934,22,1,227
14203,2684,1938,240,224,2999,24.2,1,224
14204,8584,6225,658,618,7626,16.9,0.888397017707363,549
15101,46907,33981,3014,2859,42697,27.5,0.910247937408063,2602
15102,380,274,35,32,9,45.2,0.0236842105263158,1
15201,485,362,37,35,4,21.2,0.00824742268041237,0
15202,204,148,18,16,1,20,0.00490196078431373,0
16101,45982,33325,3012,2860,38103,14.5,0.828650341437954,2370
16102,5792,4236,425,401,4745,15,0.819233425414365,329
16103,6523,4603,383,362,7202,16,1,362
16104,3331,2538,297,282,2539,20.2,0.762233563494446,215
16105,2170,1603,184,174,2173,18,1,174
16106,3249,2426,255,241,3447,22.4,1,241
16107,5796,4376,450,427,5555,19.8,0.958419599723948,409
16108,4492,3269,379,356,4779,22.6,1,356
16109,4901,3710,374,357,1752,14.3,0.357478065700877,128
16201,3416,2578,248,238,298,18.5,0.0872365339578454,21
16202,1765,1354,163,154,1720,24.6,0.974504249291785,150
16203,4471,3285,325,308,1027,21,0.229702527398792,71
16204,1714,1308,163,154,1785,16.8,1,154
16205,1495,1121,136,129,1615,19.8,1,129
16206,2078,1553,195,183,1850,18.1,0.890279114533205,163
16207,1689,1238,146,137,1609,15.2,0.95263469508585,131
16301,14509,10794,1104,1046,14072,17.9,0.969880763663933,1014
16302,6263,4501,528,492,6224,21.4,0.993772952259301,489
16303,3627,2689,352,330,3452,20.7,0.951750758202371,314
16304,1387,1064,122,116,1361,19.8,0.981254506128334,114
16305,3336,2432,260,243,3647,16,1,243
